"Hospital Name","Provider Number","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,728,,0.9664,17.1,17.7,123,7/1/2008,6/30/2011
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,Heart Failure (HF) 30-Day Readmissions,894,,0.9406,21.7,23.0,190,7/1/2008,6/30/2011
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,Pneumonia (PN) 30-Day Readmissions,400,,0.9137,15.2,16.6,56,7/1/2008,6/30/2011
MARSHALL MEDICAL CENTER SOUTH,010005,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,21,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
MARSHALL MEDICAL CENTER SOUTH,010005,AL,Heart Failure (HF) 30-Day Readmissions,264,,0.9126,22.9,25.1,55,7/1/2008,6/30/2011
MARSHALL MEDICAL CENTER SOUTH,010005,AL,Pneumonia (PN) 30-Day Readmissions,374,,0.9547,17.8,18.6,64,7/1/2008,6/30/2011
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,342,,0.9021,14.9,16.5,47,7/1/2008,6/30/2011
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,Heart Failure (HF) 30-Day Readmissions,614,,0.8033,18.5,23.0,101,7/1/2008,6/30/2011
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,Pneumonia (PN) 30-Day Readmissions,842,,0.9134,15.0,16.5,122,7/1/2008,6/30/2011
MIZELL MEMORIAL HOSPITAL,010007,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
MIZELL MEMORIAL HOSPITAL,010007,AL,Heart Failure (HF) 30-Day Readmissions,135,,1.0942,25.6,23.4,40,7/1/2008,6/30/2011
MIZELL MEMORIAL HOSPITAL,010007,AL,Pneumonia (PN) 30-Day Readmissions,254,,1.0439,17.2,16.5,46,7/1/2008,6/30/2011
CRENSHAW COMMUNITY HOSPITAL,010008,AL,Acute Myocardial Infarction (AMI) 30-Day Readmissions,4,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
